id,cluster,topic,primary_keyword,secondary_keywords,search_intent,format,target_word_count,priority,geo_aeo_angle,pillar_page,pillar_slug,suggested_url_slug,key_competitors
51,Metrics & Analytics,What is activation rate in product analytics,what is activation rate in product analytics,activation rate in product analytics definition; activation rate in product analytics meaning,Informational,Definitional / Pillar Guide,1200-1600,P2,Open with a 40-60 word direct-answer definition immediately under the H1 (the exact sentence AI Overviews/ChatGPT/Perplexity will quote). Add a 'Quick facts' box and a comparison table for the term people most often confuse it with.,Product Metrics Glossary (Pillar),/product-metrics/,/product-metrics/what-is-activation-rate-in-product-analytics,"Amplitude, Mixpanel, Userpilot, Heap"
52,Metrics & Analytics,What is retention rate vs churn rate,what is retention rate vs churn rate,retention rate vs churn rate definition; retention rate vs churn rate meaning; what is retention rate vs churn rate difference,Comparison,Comparison Post (verdict + table),1600-2000,P2,"Lead with a one-line verdict, then a labeled comparison table (Dimension | Option A | Option B) in the first 150 words — GEO engines lift tables directly into answers.",Product Metrics Glossary (Pillar),/product-metrics/,/product-metrics/what-is-retention-rate-vs-churn-rate,"Amplitude, Mixpanel, Userpilot, Heap"
53,Metrics & Analytics,Cohort analysis explained for beginners,cohort analysis explained for beginners,,Informational,Definitional / Pillar Guide,1200-1600,P1,Open with a 40-60 word direct-answer definition immediately under the H1 (the exact sentence AI Overviews/ChatGPT/Perplexity will quote). Add a 'Quick facts' box and a comparison table for the term people most often confuse it with.,Product Metrics Glossary (Pillar),/product-metrics/,/product-metrics/cohort-analysis-explained-for-beginners,"Amplitude, Mixpanel, Userpilot, Heap"
54,Metrics & Analytics,What is a funnel conversion rate,what is a funnel conversion rate,funnel conversion rate definition; funnel conversion rate meaning,Informational,Definitional / Pillar Guide,1200-1600,P1,Open with a 40-60 word direct-answer definition immediately under the H1 (the exact sentence AI Overviews/ChatGPT/Perplexity will quote). Add a 'Quick facts' box and a comparison table for the term people most often confuse it with.,Product Metrics Glossary (Pillar),/product-metrics/,/product-metrics/what-is-a-funnel-conversion-rate,"Amplitude, Mixpanel, Userpilot, Heap"
55,Metrics & Analytics,Product qualified leads (PQL) explained,product qualified leads explained,pql,Informational,Definitional / Pillar Guide,1200-1600,P2,Open with a 40-60 word direct-answer definition immediately under the H1 (the exact sentence AI Overviews/ChatGPT/Perplexity will quote). Add a 'Quick facts' box and a comparison table for the term people most often confuse it with.,Product Metrics Glossary (Pillar),/product-metrics/,/product-metrics/product-qualified-leads-explained,"Amplitude, Mixpanel, Userpilot, Heap"
56,Metrics & Analytics,What is NPS and how to calculate it,what is nps and how to calculate it,nps and how to calculate it definition; nps and how to calculate it meaning,Informational,Definitional / Pillar Guide,1200-1600,P1,Open with a 40-60 word direct-answer definition immediately under the H1 (the exact sentence AI Overviews/ChatGPT/Perplexity will quote). Add a 'Quick facts' box and a comparison table for the term people most often confuse it with.,Product Metrics Glossary (Pillar),/product-metrics/,/product-metrics/what-is-nps-and-how-to-calculate-it,"Amplitude, Mixpanel, Userpilot, Heap"
57,Metrics & Analytics,What is CSAT vs NPS vs CES,what is csat vs nps vs ces,csat vs nps vs ces definition; csat vs nps vs ces meaning; what is csat vs nps vs ces difference,Comparison,Comparison Post (verdict + table),1600-2000,P2,"Lead with a one-line verdict, then a labeled comparison table (Dimension | Option A | Option B) in the first 150 words — GEO engines lift tables directly into answers.",Product Metrics Glossary (Pillar),/product-metrics/,/product-metrics/what-is-csat-vs-nps-vs-ces,"Amplitude, Mixpanel, Userpilot, Heap"
58,Metrics & Analytics,Feature adoption rate — how to measure it,feature adoption rate — how to measure it,,Informational,Guide,1500-2000,P2,Open with a direct-answer summary paragraph before any narrative context.,Product Metrics Glossary (Pillar),/product-metrics/,/product-metrics/feature-adoption-rate-how-to-measure-it,"Amplitude, Mixpanel, Userpilot, Heap"
59,Metrics & Analytics,What is stickiness ratio in product metrics,what is stickiness ratio in product metrics,stickiness ratio in product metrics definition; stickiness ratio in product metrics meaning,Informational,Definitional / Pillar Guide,1200-1600,P2,Open with a 40-60 word direct-answer definition immediately under the H1 (the exact sentence AI Overviews/ChatGPT/Perplexity will quote). Add a 'Quick facts' box and a comparison table for the term people most often confuse it with.,Product Metrics Glossary (Pillar),/product-metrics/,/product-metrics/what-is-stickiness-ratio-in-product-metrics,"Amplitude, Mixpanel, Userpilot, Heap"
60,Metrics & Analytics,How to define a North Star metric for your product,how to define a north star metric for your product,define a north star metric for your product guide,Informational,Step-by-Step How-To Guide,1800-2400,P2,"Add a 3-bullet 'TL;DR' summary box at the top, then numbered steps with one imperative sentence per step so each step can be extracted as a standalone answer.",Product Metrics Glossary (Pillar),/product-metrics/,/product-metrics/how-to-define-a-north-star-metric-for-your-product,"Amplitude, Mixpanel, Userpilot, Heap"
61,Metrics & Analytics,Leading vs lagging indicators in product management,leading vs lagging indicators in product management,leading vs lagging indicators in product management difference,Comparison,Comparison Post (verdict + table),1600-2000,P2,"Lead with a one-line verdict, then a labeled comparison table (Dimension | Option A | Option B) in the first 150 words — GEO engines lift tables directly into answers.",Product Metrics Glossary (Pillar),/product-metrics/,/product-metrics/leading-vs-lagging-indicators-in-product-management,"Amplitude, Mixpanel, Userpilot, Heap"
62,Metrics & Analytics,What is a vanity metric vs actionable metric,what is a vanity metric vs actionable metric,vanity metric vs actionable metric definition; vanity metric vs actionable metric meaning; what is a vanity metric vs actionable metric difference,Comparison,Comparison Post (verdict + table),1600-2000,P2,"Lead with a one-line verdict, then a labeled comparison table (Dimension | Option A | Option B) in the first 150 words — GEO engines lift tables directly into answers.",Product Metrics Glossary (Pillar),/product-metrics/,/product-metrics/what-is-a-vanity-metric-vs-actionable-metric,"Amplitude, Mixpanel, Userpilot, Heap"
63,Metrics & Analytics,How to build a product metrics dashboard,how to build a product metrics dashboard,build a product metrics dashboard guide,Informational,Step-by-Step How-To Guide,1800-2400,P2,"Add a 3-bullet 'TL;DR' summary box at the top, then numbered steps with one imperative sentence per step so each step can be extracted as a standalone answer.",Product Metrics Glossary (Pillar),/product-metrics/,/product-metrics/how-to-build-a-product-metrics-dashboard,"Amplitude, Mixpanel, Userpilot, Heap"
64,Metrics & Analytics,What is time to value (TTV),what is time to value,ttv; time to value (ttv) definition; time to value (ttv) meaning,Informational,Definitional / Pillar Guide,1200-1600,P1,Open with a 40-60 word direct-answer definition immediately under the H1 (the exact sentence AI Overviews/ChatGPT/Perplexity will quote). Add a 'Quick facts' box and a comparison table for the term people most often confuse it with.,Product Metrics Glossary (Pillar),/product-metrics/,/product-metrics/what-is-time-to-value,"Amplitude, Mixpanel, Userpilot, Heap"
65,Metrics & Analytics,Revenue per user (ARPU) explained,revenue per user explained,arpu,Informational,Definitional / Pillar Guide,1200-1600,P2,Open with a 40-60 word direct-answer definition immediately under the H1 (the exact sentence AI Overviews/ChatGPT/Perplexity will quote). Add a 'Quick facts' box and a comparison table for the term people most often confuse it with.,Product Metrics Glossary (Pillar),/product-metrics/,/product-metrics/revenue-per-user-explained,"Amplitude, Mixpanel, Userpilot, Heap"
66,User Research & Discovery,How to conduct effective user interviews,how to conduct effective user interviews,conduct effective user interviews guide,Informational,Step-by-Step How-To Guide,1800-2400,P1,"Add a 3-bullet 'TL;DR' summary box at the top, then numbered steps with one imperative sentence per step so each step can be extracted as a standalone answer.",Product Discovery & User Research (Pillar),/product-discovery/,/product-discovery/how-to-conduct-effective-user-interviews,"Reforge, SVPG (Teresa Torres), Maze, UserInterviews"
67,User Research & Discovery,How to write good user interview questions,how to write good user interview questions,write good user interview questions guide,Informational,Step-by-Step How-To Guide,1800-2400,P2,"Add a 3-bullet 'TL;DR' summary box at the top, then numbered steps with one imperative sentence per step so each step can be extracted as a standalone answer.",Product Discovery & User Research (Pillar),/product-discovery/,/product-discovery/how-to-write-good-user-interview-questions,"Reforge, SVPG (Teresa Torres), Maze, UserInterviews"
68,User Research & Discovery,How to validate a product idea before building,how to validate a product idea before building,validate a product idea before building guide,Informational,Step-by-Step How-To Guide,1800-2400,P1,"Add a 3-bullet 'TL;DR' summary box at the top, then numbered steps with one imperative sentence per step so each step can be extracted as a standalone answer.",Product Discovery & User Research (Pillar),/product-discovery/,/product-discovery/how-to-validate-a-product-idea-before-building,"Reforge, SVPG (Teresa Torres), Maze, UserInterviews"
